"id","name","expenseType","icon","userId","isVisible"
1,"Missing","OUT",NULL,NULL,false
2,"Eating","OUT",NULL,NULL,true
3,"Groceries","OUT",NULL,NULL,true
4,"Electronics","OUT",NULL,NULL,true
5,"Shopping","OUT",NULL,NULL,true
6,"Home Shopping","OUT",NULL,NULL,true
7,"Rent","OUT",NULL,NULL,true
8,"Energy","OUT",NULL,NULL,true
9,"Public Transport","OUT",NULL,NULL,true
10,"Taxi","OUT",NULL,NULL,true
11,"Long Distance","OUT",NULL,NULL,true
12,"Car Rental","OUT",NULL,NULL,true
13,"Fuel","OUT",NULL,NULL,true
14,"Parking","OUT",NULL,NULL,true
15,"Fitness","OUT",NULL,NULL,true
16,"Books","OUT",NULL,NULL,true
17,"Hotel","OUT",NULL,NULL,true
18,"TV Streaming","OUT",NULL,NULL,true
19,"Internet","OUT",NULL,NULL,true
20,"Mobile","OUT",NULL,NULL,true
21,"Software","OUT",NULL,NULL,true
22,"Fines","OUT",NULL,NULL,true
23,"Insurence","OUT",NULL,NULL,true
24,"Taxes","OUT",NULL,NULL,true
25,"Investment","OUT",NULL,NULL,true
26,"Income","IN",NULL,NULL,true
27,"Refund","IN",NULL,NULL,true
28,"Sale","IN",NULL,NULL,true
